anio,mes,dia,estacion,valor
2018, 8, 20, 10, 94.2
2018, 8, 20, 11, 25.3
2018, 8, 20, 12, 69.9
2018, 8, 20, 13, 58.9
2018, 8, 20, 14, 67.8
2018, 8, 20, 15, 71.3
2018, 8, 20, 16, 23.6
2018, 8, 20, 17, 23.6
2018, 8, 27, 2, 137.4
2018, 8, 27, 3, 19.0
2018, 8, 27, 4, 175.5
2018, 8, 27, 5, 36.1
2018, 8, 27, 6, 48.5
2018, 8, 27, 7, 24.0
2018, 8, 27, 8, 53.4
2018, 8, 27, 9, 111.5
2018, 8, 27, 10, 18.1
2018, 8, 27, 11, 21.8
2018, 8, 27, 12, 114.3
2018, 8, 27, 13, 40.1
2018, 8, 27, 14, 66.9
2018, 8, 27, 15, 118.7
2018, 8, 27, 16, 22.8
2018, 8, 27, 17, 30.5
2018, 9, 3, 2, 11.4
2018, 9, 3, 3, 18.1
2018, 9, 3, 4, 30.0
2018, 9, 3, 5, 32.3
2018, 9, 3, 6, 7.5
2018, 9, 3, 7, 14.5
2018, 9, 3, 8, 43.4
2018, 9, 3, 9, 21.6
2018, 9, 3, 10, 52.6
2018, 9, 3, 11, 40.7
2018, 9, 3, 12, 20.3
2018, 9, 3, 13, 43.9
2018, 9, 3, 14, 26.9
2018, 9, 3, 15, 31.8
2018, 9, 3, 16, 7.4
2018, 9, 3, 17, 25.4
2018, 9, 10, 2, 74.4
2018, 9, 10, 3, 39.3
2018, 9, 10, 4, 56.1
2018, 9, 10, 5, 20.8
2018, 9, 10, 6, 107.1
2018, 9, 10, 7, 18.1
2018, 9, 10, 8, 32.8
2018, 9, 10, 9, 51.0
2018, 9, 10, 10, 12.0
2018, 9, 10, 11, 40.9
2018, 9, 10, 12, 68.6
2018, 9, 10, 13, 31.5
2018, 9, 10, 14, 14.5
2018, 9, 10, 15, 48.7
2018, 9, 10, 16, 7.0
2018, 9, 10, 17, 20.9
2018, 9, 17, 2, 43.2
2018, 9, 17, 3, 37.46
2018, 9, 17, 4, 104.1
2018, 9, 17, 5, 75.2
2018, 9, 17, 6, 33.2
2018, 9, 17, 7, 14.7
2018, 9, 17, 8, 88.2
2018, 9, 17, 9, 17.8
2018, 9, 17, 10, 18.5
2018, 9, 17, 11, 31.0
2018, 9, 17, 12, 71.4
2018, 9, 17, 13, 49.0
2018, 9, 17, 14, 52.6
2018, 9, 17, 15, 34.6
2018, 9, 17, 16, 48.8
2018, 9, 17, 17, 22.9
2018, 9, 24, 2, 28.2
2018, 9, 24, 3, 13.7
2018, 9, 24, 4, 38.6
2018, 9, 24, 5, 4.0
2018, 9, 24, 6, 4.2
2018, 9, 24, 7, 2.0
2018, 9, 24, 8, 96.9
2018, 9, 24, 9, 14.0
2018, 9, 24, 10, 2.0
2018, 9, 24, 11, 2.0
2018, 9, 24, 12, 51.0
2018, 9, 24, 13, 46.7
2018, 9, 24, 14, 20.8
2018, 9, 24, 15, 73.3
2018, 9, 24, 16, 12.6
2018, 9, 24, 17, 11.2
2018, 10, 1, 2, 12.2
2018, 10, 1, 3, 19.0
2018, 10, 1, 4, 45.7
2018, 10, 1, 5, 22.4
2018, 10, 1, 6, 73.8
2018, 10, 1, 7, 10.7
2018, 10, 1, 8, 48.4
2018, 10, 1, 9, 30.0
2018, 10, 1, 10, 18.0
2018, 10, 1, 11, 23.5
2018, 10, 1, 12, 56.4
2018, 10, 1, 13, 28.7
2018, 10, 1, 14, 25.7
2018, 10, 1, 15, 45.2
2018, 10, 1, 17, 26.4
2018, 10, 8, 2, 29.7
2018, 10, 8, 3, 19.1
2018, 10, 8, 4, 41.7
2018, 10, 8, 5, 9.4
2018, 10, 8, 6, 38.2
2018, 10, 8, 7, 21.3
2018, 10, 8, 8, 28.0
2018, 10, 8, 9, 37.3
2018, 10, 8, 10, 58.7
2018, 10, 8, 11, 17.8
2018, 10, 8, 12, 38.1
2018, 10, 8, 13, 43.7
2018, 10, 8, 14, 12.2
2018, 10, 8, 15, 65.7
2018, 10, 8, 16, 10.5
2018, 10, 8, 17, 37.8
2018, 10, 15, 2, 24.6
2018, 10, 15, 3, 2.8
2018, 10, 15, 4, 24.1
2018, 10, 15, 5, 2.8
2018, 10, 15, 6, 10.4
2018, 10, 15, 7, 1.3
2018, 10, 15, 8, 67.7
2018, 10, 15, 9, 23.1
2018, 10, 15, 10, 5.2
